id,class
0,1
1,0
2,1
3,0
4,0
5,1
6,1
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,1
19,1
20,0
21,1
22,1
23,1
24,0
25,0
26,0
27,1
28,1
29,1
30,1
31,0
32,0
33,0
34,1
35,1
36,1
37,0
38,1
39,0
40,1
41,1
42,0
43,1
44,0
45,0
46,1
47,1
48,0
49,0
50,0
51,1
52,0
53,0
54,1
55,1
56,1
57,0
58,1
59,0
60,1
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,1
70,0
71,1
72,1
73,0
74,1
75,0
76,0
77,1
78,1
79,1
80,0
81,1
82,0
83,0
84,0
85,1
86,1
87,0
88,1
89,0
90,0
91,1
92,1
93,1
94,0
95,1
96,1
97,0
98,0
99,0
100,0
101,1
102,1
103,1
104,1
105,0
106,0
107,1
108,1
109,1
110,0
111,0
112,0
113,0
114,0
115,0
116,1
117,0
118,0
119,1
120,0
121,1
122,0
123,0
124,1
125,1
126,0
127,1
128,1
129,0
130,0
131,1
132,1
133,0
134,0
135,0
136,0
137,0
138,0
139,1
140,0
141,0
142,1
143,0
144,0
145,1
146,0
147,0
148,1
149,0
150,1
151,0
152,1
153,0
154,0
155,1
156,0
157,1
158,0
159,0
160,1
161,0
162,0
163,1
164,1
165,0
166,1
167,0
168,1
169,1
170,0
171,1
172,1
173,0
174,0
175,1
176,1
177,0
178,0
179,0
180,0
181,1
182,1
183,1
184,0
185,0
186,0
187,1
188,0
189,1
190,1
191,1
192,0
193,1
194,1
195,1
196,1
197,0
198,0
199,1
200,0
201,0
202,0
203,0
204,1
205,1
206,0
207,1
208,1
209,0
210,0
211,0
212,0
213,1
214,0
215,0
216,1
217,1
218,0
219,0
220,0
221,1
222,1
223,0
224,0
225,0
226,0
227,1
228,0
229,1
230,0
231,1
232,0
233,0
234,1
235,1
236,0
237,0
238,1
239,1
240,0
241,1
242,0
243,1
244,0
245,1
246,1
247,0
248,0
249,0
250,0
251,1
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,1
260,0
261,0
262,1
263,0
264,1
265,1
266,0
267,1
268,0
269,0
270,0
271,1
272,0
273,0
274,0
275,1
276,1
277,0
278,1
279,1
280,1
281,0
282,1
283,1
284,0
285,1
286,0
287,1
288,1
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,1
297,0
298,1
299,0
300,0
301,1
302,0
303,1
304,1
305,0
306,0
307,0
308,1
309,0
310,1
311,0
312,0
313,0
314,0
315,1
316,1
317,1
318,0
319,0
320,0
321,1
322,1
323,1
324,0
325,1
326,1
327,0
328,0
329,1
330,0
331,0
332,0
333,0
334,0
335,1
336,0
337,1
338,0
339,1
340,0
341,0
342,1
343,0
344,0
345,0
346,0
347,1
348,0
349,0
350,1
351,0
352,0
353,1
354,0
355,0
356,0
357,1
358,0
359,1
360,1
361,0
362,1
363,1
364,1
365,1
366,0
367,1
368,0
369,0
370,0
371,1
372,1
373,0
374,0
375,0
376,1
377,1
378,1
379,0
380,0
381,1
382,0
383,1
384,0
385,0
386,0
387,1
388,0
389,1
390,1
391,0
392,1
393,0
394,0
395,0
396,1
397,1
398,0
399,0
400,1
401,0
402,0
403,1
404,0
405,0
406,0
407,1
408,0
409,0
410,1
411,0
412,0
413,0
414,0
415,1
416,0
417,0
418,1
419,0
420,1
421,1
422,1
423,1
424,1
425,1
426,0
427,0
428,1
429,1
430,0
431,0
432,1
433,0
434,0
435,0
436,1
437,0
438,1
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,1
450,1
451,0
452,0
453,0
454,1
455,1
456,1
457,1
458,0
459,1
460,0
461,0
462,0
463,0
464,0
465,1
466,0
467,0
468,0
469,0
470,1
471,1
472,1
473,0
474,0
475,0
476,0
477,1
478,0
479,1
480,1
481,0
482,1
483,0
484,0
485,1
486,0
487,0
488,1
489,1
490,0
491,0
492,1
493,1
494,0
495,1
496,0
497,1
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,1
506,0
507,0
508,1
509,1
510,0
511,1
512,0
513,0
514,1
515,0
516,1
517,0
518,1
519,0
520,1
521,1
522,1
523,0
524,1
525,0
526,1
527,0
528,1
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,1
540,1
541,1
542,1
543,0
544,1
545,1
546,1
547,0
548,0
549,0
550,0
551,1
552,1
553,0
554,0
555,1
556,1
557,0
558,0
559,0
560,0
561,0
562,1
563,0
564,0
565,1
566,1
567,0
568,0
569,0
570,1
571,0
572,0
573,1
574,0
575,0
576,0
577,0
578,0
579,1
580,1
581,0
582,1
583,0
584,0
585,0
586,1
587,0
588,1
589,1
590,0
591,0
592,0
593,0
594,0
595,1
596,1
597,1
598,0
599,1
600,0
601,1
602,0
603,0
604,0
605,1
606,0
607,1
608,0
609,1
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,1
624,1
625,0
626,0
627,0
628,1
629,0
630,0
631,0
632,1
633,1
634,0
635,0
636,0
637,1
638,0
639,0
640,0
641,1
642,1
643,1
644,0
645,1
646,0
647,0
648,0
649,0
650,0
651,1
652,0
653,0
654,0
655,1
656,1
657,0
658,1
659,1
660,1
661,1
662,1
663,1
664,0
665,0
666,0
667,0
668,0
669,1
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,1
678,0
679,0
680,0
681,0
682,1
683,0
684,0
685,0
686,0
687,0
688,1
689,0
690,1
691,0
692,0
693,0
694,0
695,0
696,1
697,0
698,0
699,0
700,0
701,0
702,1
703,1
704,1
705,0
706,0
707,0
708,1
709,1
710,0
711,1
712,1
713,0
714,1
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,1
723,0
724,1
725,1
726,0
727,0
728,1
729,1
730,1
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,1
742,1
743,0
744,0
745,0
746,1
747,0
748,1
749,1
750,1
751,1
752,1
753,1
754,0
755,1
756,1
757,1
758,1
759,0
760,1
761,0
762,0
763,0
764,0
765,1
766,0
767,1
768,1
769,0
770,0
771,1
772,0
773,1
774,0
775,0
776,1
777,0
778,0
779,1
780,1
781,1
782,1
783,0
784,0
785,1
786,1
787,0
788,0
789,1
790,1
791,0
792,1
793,1
794,0
795,0
796,1
797,0
798,1
799,0
800,0
801,1
802,0
803,0
804,1
805,0
806,0
807,0
808,0
809,1
810,0
811,0
812,0
813,0
814,1
815,1
816,1
817,1
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,1
826,1
827,1
828,0
829,0
830,1
831,0
832,0
833,0
834,0
835,1
836,0
837,0
838,0
839,1
840,0
841,0
842,0
843,0
844,1
845,1
846,0
847,0
848,0
849,0
850,1
851,0
852,0
853,0
854,0
855,1
856,0
857,1
858,0
859,0
860,1
861,0
862,1
863,1
864,0
865,1
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,1
874,0
875,1
876,0
877,1
878,1
879,0
880,0
881,0
882,1
883,1
884,1
885,0
886,0
887,0
888,1
889,0
890,1
891,1
892,1
893,0
894,1
895,0
896,1
897,0
898,1
899,0
900,1
901,1
902,1
903,0
904,0
905,0
906,0
907,1
908,0
909,0
910,1
911,0
912,1
913,1
914,1
915,1
916,0
917,0
918,0
919,0
920,0
921,0
922,1
923,0
924,0
925,1
926,0
927,1
928,0
929,0
930,0
931,0
932,0
933,0
934,1
935,0
936,0
937,1
938,0
939,0
940,1
941,0
942,0
943,0
944,1
945,0
946,0
947,0
948,1
949,0
950,1
951,0
952,1
953,1
954,0
955,0
956,1
957,0
958,1
959,0
960,1
961,1
962,0
963,1
964,0
965,1
966,1
967,0
968,0
969,1
970,1
971,1
972,1
973,1
974,0
975,0
976,1
977,1
978,0
979,0
980,0
981,0
982,0
983,1
984,1
985,0
986,0
987,1
988,1
989,0
990,0
991,1
992,0
993,1
994,1
995,0
996,1
997,1
998,1
999,0
